Date & Status,Primary Flight Number,Flight Number,Airline,Destination,Status,Aircraft Info,CO2 Emission (kg)
"10 Aug 00:10
AKDT",FX17,FDX17,Federal Express (FedEx),Shanghai (PVG / ZSPD),Landed,Boeing 777-FS2,121867
"10 Aug 00:10
AKDT",CI5148,CAL5148,China Airlines,Chicago (ORD / KORD),Landed,Boeing 747-400,78995
"10 Aug 00:30
AKDT",CA1055,CAO1055,Air China,Chicago (ORD / KORD),Landed,Boeing 777-FFT,89188
"10 Aug 00:40
AKDT",CAO1077,CAO1077,Air China Cargo,New York (JFK / KJFK),Landed,Boeing 777-FFT,90856
"10 Aug 00:59
AKDT",DL1382,DAL1382,Delta Air Lines,Seattle (SEA / KSEA),Landed,Airbus A320-211,65450
"10 Aug 01:00
AKDT",AS110,ASA110,Alaska Airlines,Seattle (SEA / KSEA),Landed,Boeing 737-990ER,62684
"10 Aug 01:05
AKDT",5Y7832,GTI7832,Atlas Air,Chicago (ORD / KORD),Landed,Boeing 747-481F,89188
"10 Aug 01:05
AKDT",CI5256,,China Airlines,Atlanta (ATL / KATL),Landed,Boeing 747-400,88047
"10 Aug 01:10
AKDT",5X71,UPS71,United Parcel Service (UPS),Louisville (SDF / KSDF),Landed,Boeing 747-8F,93904
"10 Aug 01:50
AKDT",KD7221,WGN7221,Western Global Airlines,Columbus (LCK / KLCK),Landed,McDonnell Douglas MD-11F,96256
"10 Aug 01:50
AKDT",AS281,ASA281,Alaska Airlines,Seattle (SEA / KSEA),Landed,Boeing 737-990ER,62684
"10 Aug 01:55
AKDT",BR620,,EVA Airways,Los Angeles (LAX / KLAX),Landed,Boeing 777-F,117907
"10 Aug 01:55
AKDT",AS130,ASA130,Alaska Airlines,Portland (PDX / KPDX),Landed,Boeing 737-890,60457
"10 Aug 01:56
AKDT",FX167,FDX167,Federal Express (FedEx),Memphis (MEM / KMEM),Landed,McDonnell Douglas MD-11F,102372
"10 Aug 02:00
AKDT",KO143,AER143,Alaska Central Express,Kodiak (ADQ / PADQ),Landed,Beech 1900C,29583
"10 Aug 02:00
AKDT",CK227,CKK227,China Cargo Airlines,Chicago (ORD / KORD),Landed,Boeing 777-F,106177
"10 Aug 02:10
AKDT",5Y8348,GTI8348,Atlas Air,Seoul (ICN / RKSI),Landed,Unknown,0
"10 Aug 02:44
AKDT",5X183,UPS183,United Parcel Service (UPS),Louisville (SDF / KSDF),Landed,Boeing 747-8F,93904
